"","provincia","canton","distrito","activos"
"456","SAN JOSE","TIBAS","CINCO ESQUINAS",49
"457","SAN JOSE","GOICOECHEA","IPIS",256
"458","CARTAGO","JIMENEZ","TUCURRIQUE",37
"459","HEREDIA","SAN ISIDRO","SAN FRANCISCO",15
"460","PUNTARENAS","OSA","SIERPE",5
"461","GUANACASTE","BAGACES","BAGACES",177
"462","ALAJUELA","RIO CUARTO","RIO CUARTO",41
"463","CARTAGO","LA UNION","SAN DIEGO",54
"464","PUNTARENAS","QUEPOS","NARANJITO",4
"465","ALAJUELA","GUATUSO","COTE",1
"466","GUANACASTE","TILARAN","TRONADORA",4
"467","SAN JOSE","DESAMPARADOS","FRAILES",48
"468","SAN JOSE","SANTA ANA","BRASIL",13
"469","SAN JOSE","PURISCAL","SAN ANTONIO",34
"470","SAN JOSE","TURRUBARES","SIN INFORMACION DE DISTRITO",0
"471","ALAJUELA","SARCHI","SAN PEDRO",8
"472","HEREDIA","BELEN","SIN INFORMACION DE DISTRITO",0
"473","ALAJUELA","SAN MATEO","JESUS MARIA",1
"474","LIMON","MATINA","CARRANDI",10
"475","HEREDIA","SAN RAFAEL","SANTIAGO",98
"476","PUNTARENAS","GOLFITO","SIN INFORMACION DE DISTRITO",0
"477","GUANACASTE","TILARAN","LIBANO",1
"478","ALAJUELA","SAN RAMON","PENAS BLANCAS",50
"479","ALAJUELA","ATENAS","JESUS",44
"480","SAN JOSE","TURRUBARES","CARARA",21
"481","GUANACASTE","LIBERIA","LIBERIA",517
"482","HEREDIA","SARAPIQUI","CURENA",0
"483","ALAJUELA","ALAJUELA","TURRUCARES",136
"484","CARTAGO","CARTAGO","CORRALILLO",69
"485","GUANACASTE","NANDAYURE","ZAPOTAL",0
"486","ALAJUELA","GRECIA","PUENTE DE PIEDRA",70
"487","LIMON","POCOCI","CARIARI",51
"488","CARTAGO","TURRIALBA","TRES EQUIS",19
"489","ALAJUELA","RIO CUARTO","SANTA ISABEL",14
"490","PUNTARENAS","BUENOS AIRES","VOLCAN",9
"491","LIMON","GUACIMO","RIO JIMENEZ",1
"492","HEREDIA","SAN RAFAEL","SIN INFORMACION DE DISTRITO",0
"493","CARTAGO","CARTAGO","AGUACALIENTE O SAN FRANCISCO",74
"494","SAN JOSE","CURRIDABAT","CURRIDABAT",36
"495","SAN JOSE","TURRUBARES","SAN JUAN DE MATA",17
"496","SAN JOSE","VAZQUEZ DE CORONADO","CASCAJAL",18
"497","LIMON","TALAMANCA","TELIRE",3
"498","SAN JOSE","SAN JOSE","ZAPOTE",49
"499","LIMON","TALAMANCA","SIXAOLA",11
"500","HEREDIA","HEREDIA","SIN INFORMACION DE DISTRITO",1
"501","PUNTARENAS","OSA","PUERTO CORTES",15
"502","PUNTARENAS","COTO BRUS","GUTIERREZ BRAUN",2
"503","CARTAGO","ALVARADO","PACAYAS",17
"504","CARTAGO","LA UNION","SIN INFORMACION DE DISTRITO",0
"505","SAN JOSE","ACOSTA","CANGREJAL",3
"506","SAN JOSE","SANTA ANA","POZOS",63
"507","HEREDIA","SANTO DOMINGO","PARA",4
"508","ALAJUELA","SAN RAMON","PIEDADES SUR",17
"509","CARTAGO","CARTAGO","LLANO GRANDE",7
"510","GUANACASTE","SANTA CRUZ","VEINTISIETE DE ABRIL",55
"511","SAN JOSE","CURRIDABAT","TIRRASES",21
"512","ALAJUELA","SAN RAMON","SIN INFORMACION DE DISTRITO",0
"513","GUANACASTE","SANTA CRUZ","CUAJINIQUIL",1
"514","CARTAGO","CARTAGO","TIERRA BLANCA",22
"515","PUNTARENAS","ESPARZA","MACACONA",35
"516","ALAJUELA","ALAJUELA","SARAPIQUI",15
"517","ALAJUELA","SAN RAMON","PIEDADES NORTE",62
"518","LIMON","MATINA","SIN INFORMACION DE DISTRITO",0
"519","ALAJUELA","SAN RAMON","SAN JUAN",91
"520","GUANACASTE","LIBERIA","SIN INFORMACION DE DISTRITO",0
"521","PUNTARENAS","ESPARZA","SAN RAFAEL",3
"522","CARTAGO","EL GUARCO","TOBOSI",25
"523","PUNTARENAS","BUENOS AIRES","BRUNKA",10
"524","ALAJUELA","LOS CHILES","EL AMPARO",9
"525","HEREDIA","BELEN","LA ASUNCION",11
"526","ALAJUELA","NARANJO","EL ROSARIO",8
"527","ALAJUELA","POAS","SAN JUAN",2
"528","ALAJUELA","ATENAS","ATENAS",93
"529","SAN JOSE","DESAMPARADOS","PATARRA",17
"530","HEREDIA","BELEN","LA RIBERA",19
"531","ALAJUELA","UPALA","BIJAGUA",29
"532","SAN JOSE","MONTES DE OCA","SABANILLA",17
"533","SAN JOSE","VAZQUEZ DE CORONADO","SAN RAFAEL",10
"534","GUANACASTE","NICOYA","SIN INFORMACION DE DISTRITO",0
"535","SAN JOSE","TARRAZU","SIN INFORMACION DE DISTRITO",0
"536","CARTAGO","EL GUARCO","EL TEJAR",66
"537","SAN JOSE","LEON CORTES CASTRO","SAN PABLO",9
"538","GUANACASTE","TILARAN","QUEBRADA GRANDE",1
"539","CARTAGO","PARAISO","CACHI",1
"540","GUANACASTE","CANAS","CANAS",41
"541","SAN JOSE","ALAJUELITA","ALAJUELITA",94
"542","CARTAGO","TURRIALBA","LA SUIZA",49
"543","SAN JOSE","SAN JOSE","MERCED",54
"544","ALAJUELA","ZARCERO","TAPESCO",4
"545","ALAJUELA","UPALA","DELICIAS",9
"546","ALAJUELA","RIO CUARTO","SIN INFORMACION DE DISTRITO",0
"547","GUANACASTE","HOJANCHA","PUERTO CARRILLO",1
"548","ALAJUELA","LOS CHILES","CANO NEGRO",0
"549","ALAJUELA","LOS CHILES","SAN JORGE",1
"550","PUNTARENAS","PUNTARENAS","CHACARITA",94
"551","ALAJUELA","POAS","SAN PEDRO",15
"552","SAN JOSE","SAN JOSE","MATA REDONDA",24
"553","SAN JOSE","TIBAS","LEON XIII",40
"554","HEREDIA","FLORES","LLORENTE",15
"555","LIMON","SIQUIRRES","LA ALEGRIA",9
"556","HEREDIA","FLORES","SAN JOAQUIN",14
"557","HEREDIA","SAN RAFAEL","SAN RAFAEL",103
"558","LIMON","MATINA","BATAN",28
"559","GUANACASTE","LIBERIA","CURUBANDE",15
"560","HEREDIA","SAN PABLO","RINCON DE SABANILLA",20
"561","SAN JOSE","PEREZ ZELEDON","CAJON",11
"562","GUANACASTE","HOJANCHA","MONTE ROMO",1
"563","SAN JOSE","ESCAZU","SIN INFORMACION DE DISTRITO",0
"564","ALAJUELA","ATENAS","SAN JOSE",21
"565","LIMON","MATINA","MATINA",6
"566","LIMON","POCOCI","SIN INFORMACION DE DISTRITO",0
"567","ALAJUELA","ATENAS","ESCOBAL",7
"568","PUNTARENAS","PUNTARENAS","ISLA DEL COCO",0
"569","SAN JOSE","VAZQUEZ DE CORONADO","SAN ISIDRO",39
