"","provincia","canton","distrito","activos"
"228","ALAJUELA","SAN RAMON","SAN LORENZO",4
"229","SAN JOSE","PEREZ ZELEDON","SIN INFORMACION DE DISTRITO",0
"230","SAN JOSE","ALAJUELITA","CONCEPCION",98
"231","ALAJUELA","GUATUSO","BUENAVISTA",6
"232","PUNTARENAS","GOLFITO","GOLFITO",10
"233","ALAJUELA","SAN RAMON","SAN RAFAEL",44
"234","SAN JOSE","MORA","SIN INFORMACION DE DISTRITO",0
"235","LIMON","POCOCI","RITA",57
"236","HEREDIA","SARAPIQUI","SIN INFORMACION DE DISTRITO",0
"237","GUANACASTE","HOJANCHA","SIN INFORMACION DE DISTRITO",0
"238","PUNTARENAS","PUNTARENAS","MONTE VERDE",9
"239","GUANACASTE","LIBERIA","MAYORGA",6
"240","GUANACASTE","LIBERIA","CANAS DULCES",25
"241","ALAJUELA","OROTINA","HACIENDA VIEJA",4
"242","CARTAGO","EL GUARCO","SIN INFORMACION DE DISTRITO",0
"243","PUNTARENAS","MONTES DE ORO","LA UNION",2
"244","GUANACASTE","SANTA CRUZ","CABO VELAS",6
"245","SAN JOSE","VAZQUEZ DE CORONADO","SIN INFORMACION DE DISTRITO",1
"246","CARTAGO","JIMENEZ","JUAN VINAS",22
"247","ALAJUELA","PALMARES","ESQUIPULAS",4
"248","HEREDIA","SANTA BARBARA","SAN JUAN",19
"249","HEREDIA","SAN PABLO","SIN INFORMACION DE DISTRITO",0
"250","ALAJUELA","SAN RAMON","SAN ISIDRO",20
"251","GUANACASTE","TILARAN","TIERRAS MORENAS",0
"252","ALAJUELA","PALMARES","ZARAGOZA",6
"253","ALAJUELA","GUATUSO","KATIRA",14
"254","GUANACASTE","BAGACES","LA FORTUNA",28
"255","SAN JOSE","SAN JOSE","EL CARMEN",35
"256","SAN JOSE","MORA","QUITIRRISI",1
"257","PUNTARENAS","GOLFITO","GUAYCARA",12
"258","PUNTARENAS","PUNTARENAS","ARANCIBIA",1
"259","ALAJUELA","NARANJO","PALMITOS",3
"260","ALAJUELA","ZARCERO","ZAPOTE",1
"261","ALAJUELA","SAN CARLOS","PITAL",29
"262","ALAJUELA","SAN CARLOS","CUTRIS",16
"263","PUNTARENAS","PUNTARENAS","LEPANTO",22
"264","ALAJUELA","SAN CARLOS","SIN INFORMACION DE DISTRITO",0
"265","SAN JOSE","PURISCAL","BARBACOAS",15
"266","SAN JOSE","SANTA ANA","SALITRAL",37
"267","CARTAGO","CARTAGO","ORIENTAL",40
"268","HEREDIA","SANTA BARBARA","SAN PEDRO",13
"269","PUNTARENAS","BUENOS AIRES","COLINAS",1
"270","LIMON","TALAMANCA","CAHUITA",21
"271","SAN JOSE","DESAMPARADOS","DESAMPARADOS",222
"272","ALAJUELA","SAN CARLOS","LA FORTUNA",164
"273","CARTAGO","CARTAGO","DULCE NOMBRE",37
"274","CARTAGO","OREAMUNO","POTRERO CERRADO",2
"275","GUANACASTE","HOJANCHA","HUACAS",3
"276","LIMON","SIQUIRRES","FLORIDA",0
"277","ALAJUELA","ZARCERO","GUADALUPE",3
"278","GUANACASTE","CARRILLO","SARDINAL",112
"279","ALAJUELA","ALAJUELA","SAN JOSE",414
"280","PUNTARENAS","BUENOS AIRES","BUENOS AIRES",57
"281","PUNTARENAS","PUNTARENAS","ACAPULCO",4
"282","LIMON","POCOCI","JIMENEZ",18
"283","ALAJUELA","OROTINA","SIN INFORMACION DE DISTRITO",0
"284","HEREDIA","SANTO DOMINGO","SAN MIGUEL",8
"285","SAN JOSE","ACOSTA","SABANILLAS",1
"286","SAN JOSE","VAZQUEZ DE CORONADO","PATALILLO",64
"287","ALAJUELA","GRECIA","BOLIVAR",44
"288","ALAJUELA","SAN CARLOS","LA TIGRA",30
"289","PUNTARENAS","PUNTARENAS","COBANO",75
"290","SAN JOSE","CURRIDABAT","SIN INFORMACION DE DISTRITO",0
"291","ALAJUELA","SAN RAMON","VOLIO",15
"292","GUANACASTE","HOJANCHA","HOJANCHA",10
"293","SAN JOSE","VAZQUEZ DE CORONADO","DULCE NOMBRE DE JESUS",17
"294","SAN JOSE","DESAMPARADOS","SAN ANTONIO",56
"295","SAN JOSE","PEREZ ZELEDON","LA  AMISTAD",0
"296","GUANACASTE","CANAS","BEBEDERO",6
"297","PUNTARENAS","QUEPOS","SAVEGRE",7
"298","PUNTARENAS","BUENOS AIRES","CHANGUENA",1
"299","SAN JOSE","GOICOECHEA","SAN FRANCISCO",6
"300","CARTAGO","CARTAGO","OCCIDENTAL",13
"301","CARTAGO","PARAISO","LLANOS DE SANTA LUCIA",8
"302","GUANACASTE","NANDAYURE","SIN INFORMACION DE DISTRITO",0
"303","GUANACASTE","TILARAN","SIN INFORMACION DE DISTRITO",0
"304","CARTAGO","EL GUARCO","SAN ISIDRO",24
"305","SAN JOSE","PEREZ ZELEDON","EL GENERAL",3
"306","CARTAGO","CARTAGO","SAN NICOLAS",80
"307","SAN JOSE","ASERRI","SIN INFORMACION DE DISTRITO",0
"308","ALAJUELA","NARANJO","NARANJO",27
"309","PUNTARENAS","CORREDORES","CORREDOR",29
"310","ALAJUELA","UPALA","AGUAS CLARAS",25
"311","GUANACASTE","NANDAYURE","SANTA RITA",0
"312","SAN JOSE","DESAMPARADOS","SIN INFORMACION DE DISTRITO",1
"313","ALAJUELA","ATENAS","MERCEDES",38
"314","SAN JOSE","ASERRI","MONTERREY",1
"315","PUNTARENAS","MONTES DE ORO","SAN ISIDRO",14
"316","SAN JOSE","PURISCAL","SAN RAFAEL",9
"317","HEREDIA","SAN ISIDRO","CONCEPCION",12
"318","ALAJUELA","NARANJO","SAN JUAN",4
"319","SAN JOSE","SAN JOSE","SAN FRANCISCO DE DOS RIOS",34
"320","PUNTARENAS","BUENOS AIRES","BIOLLEY",2
"321","PUNTARENAS","COTO BRUS","AGUABUENA",2
"322","HEREDIA","HEREDIA","VARABLANCA",1
"323","CARTAGO","OREAMUNO","SAN RAFAEL",47
"324","SAN JOSE","ACOSTA","SAN IGNACIO",23
"325","SAN JOSE","ACOSTA","PALMICHAL",5
"326","SAN JOSE","PEREZ ZELEDON","SAN PEDRO",6
"327","LIMON","POCOCI","ROXANA",22
"328","SAN JOSE","TIBAS","COLIMA",43
"329","ALAJUELA","LOS CHILES","SIN INFORMACION DE DISTRITO",0
"330","SAN JOSE","ESCAZU","SAN ANTONIO",188
"331","SAN JOSE","DOTA","COPEY",7
"332","ALAJUELA","SAN RAMON","ALFARO",53
"333","LIMON","SIQUIRRES","PACUARITO",7
"334","SAN JOSE","MORAVIA","LA TRINIDAD",164
"335","HEREDIA","SAN RAFAEL","SAN JOSECITO",111
"336","CARTAGO","TURRIALBA","PERALTA",1
"337","GUANACASTE","ABANGARES","SAN JUAN",20
"338","GUANACASTE","SANTA CRUZ","CARTAGENA",37
"339","SAN JOSE","TURRUBARES","SAN PEDRO",4
"340","CARTAGO","PARAISO","SIN INFORMACION DE DISTRITO",0
"341","ALAJUELA","SAN CARLOS","AGUAS ZARCAS",24
