"","provincia","canton","distrito","activos"
"1","PUNTARENAS","CORREDORES","CANOAS",25
"2","SAN JOSE","MONTES DE OCA","SIN INFORMACION DE DISTRITO",0
"3","PUNTARENAS","COTO BRUS","PITTIER",0
"4","HEREDIA","BARVA","SIN INFORMACION DE DISTRITO",0
"5","GUANACASTE","TILARAN","SANTA ROSA",2
"6","SAN JOSE","PURISCAL","DESAMPARADITOS",3
"7","SAN JOSE","MONTES DE OCA","SAN RAFAEL",11
"8","ALAJUELA","SAN MATEO","LABRADOR",0
"9","ALAJUELA","GUATUSO","SAN RAFAEL",23
"10","ALAJUELA","SAN CARLOS","BUENAVISTA",0
"11","ALAJUELA","SARCHI","TORO AMARILLO",1
"12","PUNTARENAS","MONTES DE ORO","SIN INFORMACION DE DISTRITO",0
"13","GUANACASTE","SANTA CRUZ","BOLSON",0
"14","GUANACASTE","CANAS","PALMIRA",1
"15","GUANACASTE","CARRILLO","PALMIRA",34
"16","ALAJUELA","SAN CARLOS","FLORENCIA",95
"17","ALAJUELA","UPALA","DOS RIOS",10
"18","PUNTARENAS","GARABITO","SIN INFORMACION DE DISTRITO",0
"19","PUNTARENAS","PUNTARENAS","PAQUERA",78
"20","PUNTARENAS","PUNTARENAS","GUACIMAL",1
"21","SAN JOSE","TARRAZU","SAN MARCOS",47
"22","GUANACASTE","LA CRUZ","SANTA CECILIA",17
"23","ALAJUELA","ALAJUELA","SAN ANTONIO",353
"24","SAN JOSE","SAN JOSE","CATEDRAL",39
"25","CARTAGO","LA UNION","TRES RIOS",22
"26","SAN JOSE","LEON CORTES CASTRO","SANTA CRUZ",0
"27","ALAJUELA","SAN RAMON","SAN RAMON",160
"28","CARTAGO","EL GUARCO","PATIO DE AGUA",2
"29","GUANACASTE","HOJANCHA","MATAMBU",0
"30","GUANACASTE","CARRILLO","SIN INFORMACION DE DISTRITO",0
"31","HEREDIA","SANTO DOMINGO","SANTO TOMAS",5
"32","SAN JOSE","DOTA","JARDIN",0
"33","CARTAGO","LA UNION","CONCEPCION",40
"34","HEREDIA","SANTA BARBARA","SIN INFORMACION DE DISTRITO",0
"35","GUANACASTE","CANAS","SIN INFORMACION DE DISTRITO",0
"36","GUANACASTE","CARRILLO","BELEN",56
"37","ALAJUELA","OROTINA","OROTINA",25
"38","ALAJUELA","ZARCERO","PALMIRA",3
"39","ALAJUELA","UPALA","CANALETE",15
"40","ALAJUELA","SAN RAMON","ZAPOTAL",1
"41","GUANACASTE","NICOYA","SAN ANTONIO",55
"42","LIMON","TALAMANCA","SIN INFORMACION DE DISTRITO",0
"43","PUNTARENAS","CORREDORES","LA CUESTA",2
"44","CARTAGO","JIMENEZ","PEJIBAYE",21
"45","SAN JOSE","ASERRI","LEGUA",2
"46","ALAJUELA","NARANJO","SAN JOSE",8
"47","SAN JOSE","ESCAZU","SAN RAFAEL",203
"48","ALAJUELA","GRECIA","TACARES",67
"49","SAN JOSE","MONTES DE OCA","MERCEDES",7
"50","ALAJUELA","GRECIA","SAN JOSE",57
"51","CARTAGO","CARTAGO","QUEBRADILLA",13
"52","CARTAGO","OREAMUNO","SANTA ROSA",2
"53","ALAJUELA","NARANJO","SAN JERONIMO",2
"54","SAN JOSE","ALAJUELITA","SAN ANTONIO",27
"55","LIMON","SIQUIRRES","GERMANIA",7
"56","GUANACASTE","NICOYA","NOSARA",78
"57","SAN JOSE","MORA","COLON",40
"58","GUANACASTE","LA CRUZ","SANTA ELENA",2
"59","ALAJUELA","OROTINA","LA CEIBA",9
"60","CARTAGO","PARAISO","SANTIAGO",3
"61","LIMON","TALAMANCA","BRATSI",7
"62","SAN JOSE","GOICOECHEA","PURRAL",153
"63","PUNTARENAS","QUEPOS","SIN INFORMACION DE DISTRITO",0
"64","CARTAGO","PARAISO","PARAISO",8
"65","HEREDIA","SAN ISIDRO","SAN ISIDRO",30
"66","CARTAGO","TURRIALBA","CHIRRIPO",11
"67","CARTAGO","OREAMUNO","CIPRESES",4
"68","HEREDIA","SANTA BARBARA","JESUS",28
"69","ALAJUELA","NARANJO","SAN MIGUEL",3
"70","LIMON","GUACIMO","POCORA",5
"71","SAN JOSE","MORA","TABARCIA",11
"72","ALAJUELA","PALMARES","PALMARES",2
