"","provincia","canton","distrito","activos"
"73","CARTAGO","OREAMUNO","SIN INFORMACION DE DISTRITO",0
"74","HEREDIA","SANTO DOMINGO","SAN VICENTE",8
"75","SAN JOSE","PURISCAL","MERCEDES SUR",57
"76","SAN JOSE","MORA","JARIS",3
"77","LIMON","SIQUIRRES","EL CAIRO",8
"78","SAN JOSE","GOICOECHEA","SIN INFORMACION DE DISTRITO",1
"79","PUNTARENAS","OSA","SIN INFORMACION DE DISTRITO",0
"80","GUANACASTE","NICOYA","SAMARA",41
"81","ALAJUELA","POAS","CARRILLOS",5
"82","SAN JOSE","DESAMPARADOS","SAN RAFAEL ABAJO",32
"83","HEREDIA","SAN ISIDRO","SIN INFORMACION DE DISTRITO",0
"84","PUNTARENAS","QUEPOS","QUEPOS",44
"85","HEREDIA","BARVA","SAN JOSE DE LA MONTANA",63
"86","SAN JOSE","ASERRI","SALITRILLOS",30
"87","SAN JOSE","PEREZ ZELEDON","DANIEL FLORES",42
"88","GUANACASTE","CARRILLO","FILADELFIA",49
"89","CARTAGO","TURRIALBA","SANTA ROSA",50
"90","ALAJUELA","SAN CARLOS","VENADO",10
"91","PUNTARENAS","COTO BRUS","SAN VITO",8
"92","HEREDIA","SANTO DOMINGO","TURES",3
"93","ALAJUELA","PALMARES","CANDELARIA",4
"94","SAN JOSE","SAN JOSE","SAN SEBASTIAN",54
"95","GUANACASTE","NANDAYURE","PORVENIR",2
"96","SAN JOSE","ALAJUELITA","SAN FELIPE",259
"97","PUNTARENAS","GOLFITO","PAVON",16
"98","PUNTARENAS","PUNTARENAS","EL ROBLE",89
"99","SAN JOSE","PEREZ ZELEDON","BARU",2
"100","SAN JOSE","LEON CORTES CASTRO","SIN INFORMACION DE DISTRITO",0
"101","ALAJUELA","PALMARES","SANTIAGO",4
"102","PUNTARENAS","COTO BRUS","SABALITO",14
"103","SAN JOSE","TARRAZU","SAN CARLOS",0
"104","ALAJUELA","ALAJUELA","GARITA",75
"105","SAN JOSE","MONTES DE OCA","SAN PEDRO",31
"106","SAN JOSE","LEON CORTES CASTRO","SAN ANTONIO",2
"107","SAN JOSE","PURISCAL","SIN INFORMACION DE DISTRITO",0
"108","ALAJUELA","ALAJUELA","CARRIZAL",23
"109","PUNTARENAS","ESPARZA","SIN INFORMACION DE DISTRITO",0
"110","ALAJUELA","ZARCERO","ZARCERO",7
"111","ALAJUELA","ATENAS","SIN INFORMACION DE DISTRITO",0
"112","GUANACASTE","NANDAYURE","CARMONA",5
"113","CARTAGO","CARTAGO","GUADALUPE O ARENILLA",26
