"","provincia","canton","distrito","activos"
"342","ALAJUELA","OROTINA","COYOLAR",8
"343","GUANACASTE","BAGACES","RIO NARANJO",9
"344","SAN JOSE","ASERRI","SAN GABRIEL",25
"345","SAN JOSE","PURISCAL","CHIRES",13
"346","ALAJUELA","SAN CARLOS","MONTERREY",41
"347","SAN JOSE","GOICOECHEA","CALLE BLANCOS",99
"348","LIMON","GUACIMO","GUACIMO",10
"349","ALAJUELA","GRECIA","SAN ISIDRO",35
"350","SAN JOSE","GOICOECHEA","MATA DE PLATANO",98
"351","ALAJUELA","UPALA","SIN INFORMACION DE DISTRITO",0
"352","SAN JOSE","ASERRI","ASERRI",119
"353","CARTAGO","LA UNION","SAN RAMON",1
"354","ALAJUELA","ALAJUELA","DESAMPARADOS",86
"355","GUANACASTE","CANAS","POROZAL",2
"356","PUNTARENAS","PUNTARENAS","CHOMES",15
"357","CARTAGO","CARTAGO","SIN INFORMACION DE DISTRITO",0
"358","ALAJUELA","GRECIA","SAN ROQUE",66
"359","ALAJUELA","SAN MATEO","DESMONTE",0
"360","PUNTARENAS","BUENOS AIRES","SIN INFORMACION DE DISTRITO",0
"361","ALAJUELA","PALMARES","SIN INFORMACION DE DISTRITO",0
"362","SAN JOSE","DESAMPARADOS","GRAVILIAS",60
"363","GUANACASTE","SANTA CRUZ","TEMPATE",26
"364","GUANACASTE","BAGACES","MOGOTE",30
"365","GUANACASTE","SANTA CRUZ","DIRIA",3
"366","GUANACASTE","LA CRUZ","LA GARITA",6
"367","SAN JOSE","TURRUBARES","SAN PABLO",7
"368","PUNTARENAS","BUENOS AIRES","PILAS",1
"369","SAN JOSE","ASERRI","TARBACA",2
"370","ALAJUELA","ZARCERO","LAGUNA",6
"371","HEREDIA","SARAPIQUI","LAS HORQUETAS",76
"372","SAN JOSE","TIBAS","SIN INFORMACION DE DISTRITO",0
"373","PUNTARENAS","PUNTARENAS","MANZANILLO",7
"374","GUANACASTE","NICOYA","NICOYA",261
"375","HEREDIA","SANTO DOMINGO","SANTO DOMINGO",12
"376","GUANACASTE","TILARAN","ARENAL",5
"377","SAN JOSE","PEREZ ZELEDON","RIO NUEVO",2
"378","SAN JOSE","MORAVIA","SAN VICENTE",217
"379","ALAJUELA","ZARCERO","SIN INFORMACION DE DISTRITO",0
"380","CARTAGO","LA UNION","SAN JUAN",14
"381","SAN JOSE","DESAMPARADOS","SAN MIGUEL",32
"382","LIMON","POCOCI","GUAPILES",58
"383","HEREDIA","HEREDIA","ULLOA",76
"384","GUANACASTE","CANAS","SAN MIGUEL",0
"385","ALAJUELA","UPALA","YOLILLAL",23
"386","CARTAGO","OREAMUNO","COT",15
"387","SAN JOSE","ASERRI","VUELTA DE JORCO",46
"388","ALAJUELA","SARCHI","SARCHI NORTE",22
"389","SAN JOSE","PEREZ ZELEDON","PEJIBAYE",2
"390","GUANACASTE","BAGACES","SIN INFORMACION DE DISTRITO",0
"391","PUNTARENAS","COTO BRUS","LIMONCITO",24
"392","CARTAGO","TURRIALBA","PAVONES",34
"393","LIMON","LIMON","RIO BLANCO",6
"394","PUNTARENAS","PUNTARENAS","BARRANCA",180
"395","PUNTARENAS","OSA","BAHIA DRAKE",2
"396","SAN JOSE","SAN JOSE","PAVAS",200
"397","GUANACASTE","ABANGARES","SIN INFORMACION DE DISTRITO",0
"398","SAN JOSE","ALAJUELITA","SIN INFORMACION DE DISTRITO",0
"399","SAN JOSE","DESAMPARADOS","SAN JUAN DE DIOS",82
"400","ALAJUELA","ALAJUELA","TAMBOR",159
"401","PUNTARENAS","PUNTARENAS","PITAHAYA",3
"402","CARTAGO","TURRIALBA","SANTA TERESITA",31
"403","SAN JOSE","LEON CORTES CASTRO","SAN ISIDRO",2
"404","ALAJUELA","ATENAS","CONCEPCION",24
"405","SAN JOSE","GOICOECHEA","RANCHO REDONDO",49
"406","CARTAGO","TURRIALBA","TURRIALBA",288
"407","PUNTARENAS","MONTES DE ORO","MIRAMAR",33
"408","HEREDIA","BARVA","BARVA",67
"409","CARTAGO","TURRIALBA","LA ISABEL",54
"410","PUNTARENAS","PARRITA","SIN INFORMACION DE DISTRITO",0
"411","PUNTARENAS","PARRITA","PARRITA",26
"412","SAN JOSE","LEON CORTES CASTRO","SAN ANDRES",3
"413","SAN JOSE","PEREZ ZELEDON","PLATANARES",6
"414","ALAJUELA","ATENAS","SANTA EULALIA",18
"415","HEREDIA","SAN PABLO","SAN PABLO",63
"416","SAN JOSE","DESAMPARADOS","DAMAS",24
"417","HEREDIA","HEREDIA","MERCEDES",76
"418","LIMON","GUACIMO","SIN INFORMACION DE DISTRITO",0
"419","PUNTARENAS","GOLFITO","PUERTO JIMENEZ",13
"420","GUANACASTE","ABANGARES","SIERRA",26
"421","SAN JOSE","LEON CORTES CASTRO","LLANO BONITO",1
"422","ALAJUELA","POAS","SIN INFORMACION DE DISTRITO",0
"423","SAN JOSE","SAN JOSE","HOSPITAL",120
"424","ALAJUELA","SAN RAMON","SANTIAGO",50
"425","ALAJUELA","SAN RAMON","CONCEPCION",19
"426","SAN JOSE","PURISCAL","GRIFO ALTO",2
"427","SAN JOSE","DOTA","SIN INFORMACION DE DISTRITO",0
"428","ALAJUELA","SARCHI","SARCHI SUR",11
"429","ALAJUELA","LOS CHILES","LOS CHILES",29
"430","PUNTARENAS","OSA","BAHIA BALLENA",8
"431","CARTAGO","JIMENEZ","SIN INFORMACION DE DISTRITO",0
"432","SAN JOSE","SANTA ANA","SIN INFORMACION DE DISTRITO",0
"433","GUANACASTE","ABANGARES","COLORADO",79
"434","ALAJUELA","ALAJUELA","GUACIMA",280
"435","HEREDIA","SARAPIQUI","LLANURAS DEL GASPAR",0
"436","GUANACASTE","SANTA CRUZ","TAMARINDO",96
"437","HEREDIA","SANTA BARBARA","SANTA BARBARA",16
"438","LIMON","SIQUIRRES","REVENTAZON",0
"439","ALAJUELA","ZARCERO","BRISAS",6
"440","SAN JOSE","CURRIDABAT","SANCHEZ",4
"441","HEREDIA","SAN RAFAEL","CONCEPCION",34
"442","ALAJUELA","GUATUSO","SIN INFORMACION DE DISTRITO",0
"443","ALAJUELA","ATENAS","SAN ISIDRO",37
"444","ALAJUELA","SAN MATEO","SAN MATEO",4
"445","ALAJUELA","GRECIA","GRECIA",161
"446","HEREDIA","HEREDIA","HEREDIA",82
"447","SAN JOSE","GOICOECHEA","GUADALUPE",234
"448","SAN JOSE","ALAJUELITA","SAN JOSECITO",121
"449","LIMON","GUACIMO","DUACARI",8
"450","HEREDIA","BELEN","SAN ANTONIO",23
"451","SAN JOSE","MORAVIA","SIN INFORMACION DE DISTRITO",0
"452","SAN JOSE","TARRAZU","SAN LORENZO",6
"453","CARTAGO","ALVARADO","SIN INFORMACION DE DISTRITO",0
"454","ALAJUELA","POAS","SAN RAFAEL",11
"455","CARTAGO","LA UNION","RIO AZUL",14
